member_id,signup_date,persona_segment,acquisition_channel,is_premium
4e0d69c4-8372-4385-8164-bfdb860ea157,2025-04-13,The Selective,Organic,0
34897d6f-14cf-4b6f-a31b-6c7560a1039f,2025-12-15,The Ghost,Referral,0
9ceedd04-3d10-4752-a753-0ba13e267695,2025-09-28,The Newbie,Organic,0
7dc6aadd-490d-402a-98d2-387706060fd1,2025-04-17,The Newbie,Referral,0
8d545f28-8e8b-43b9-9601-4163a400e4a5,2025-03-13,The Selective,Paid Social,0
36f02878-6d73-4ad0-9df5-28464f73a1c8,2025-07-08,The Ghost,Organic,0
ca233dba-2987-4b18-8bfa-b681000192e2,2025-01-21,The Connector,Paid Social,0
ffbb10bb-339c-431f-9878-23e7e6d8bb93,2025-04-13,The Ghost,Paid Social,0
5d40d491-d88f-432c-9f75-c38f4cb31d13,2025-05-02,The Ghost,Referral,0
70e3fe3e-5923-4c0b-80d4-12534650550c,2025-08-03,The Newbie,Organic,0
bcc9bb39-4957-4509-8cb0-58f01012fedc,2025-11-27,The Newbie,Referral,1
825cd13c-78cb-4805-86fa-feb48d047506,2025-03-29,The Newbie,Referral,0
bf12f1a3-ab25-4f6d-8f3e-9d0029468253,2025-04-10,The Selective,Organic,0
0cd49199-714a-493c-ba7c-9593b6aea4dd,2025-12-26,The Newbie,Paid Social,1
640d6bcc-c012-4d03-9795-0dad527a0b81,2025-06-01,The Ghost,Referral,0
ddaaf968-9ba6-4410-a309-9f5724828609,2025-05-11,The Connector,Paid Social,0
0f3e672c-005d-4825-ae8e-26b19778bc64,2025-05-30,The Ghost,Paid Social,0
bc4c6302-26b1-489b-aac7-6cd121eaef19,2025-11-05,The Newbie,Referral,0
e414c85f-5bda-4ae8-b2c7-eb873e2b36f1,2025-09-15,The Newbie,Referral,0
52ca086e-eef1-431c-acb9-a1d5bad34eba,2025-12-10,The Connector,Organic,0
58b30f4c-0a7b-4760-8c4e-c2627097a98f,2025-10-21,The Connector,Paid Social,0
da2bb263-5711-4b92-96cc-31ec2a0531c3,2025-07-11,The Ghost,Paid Social,0
326cf6be-f6b0-4ceb-88d9-bcc3b72da69c,2025-10-04,The Connector,Referral,0
3571f135-4ce1-4b1a-8dcd-a3d5cc3b243b,2025-06-10,The Newbie,Paid Social,0
bf686bec-6d88-475e-b079-e06a45d70617,2025-11-10,The Newbie,Organic,0
5707b17a-b331-4e68-87b6-e048e3d71e9b,2025-01-22,The Selective,Paid Social,0
4ba69eae-2f4a-48f8-b9f4-d3b9d49cde13,2025-09-10,The Newbie,Paid Social,0
f9135d1c-98d5-455d-b2d9-deb35f45de30,2025-08-24,The Connector,Organic,0
b2220792-726a-496b-a279-0f2bea4c72af,2025-12-11,The Selective,Paid Social,0
f09f4412-36a5-4c5e-89cf-ddacd453848a,2025-02-18,The Selective,Paid Social,0
ca6c12ad-f4b0-4953-9777-14a5ad54ce35,2025-02-28,The Newbie,Organic,0
7bea284f-ad5a-43fa-bce4-99aef44fb4dd,2025-06-19,The Ghost,Referral,0
81bed425-c4c3-4c83-b7c0-83430e6fa1c3,2025-07-07,The Connector,Referral,0
1d0d340f-9b00-4e15-acc0-c173a59f18d1,2025-09-28,The Selective,Referral,0
dbae9641-25fd-4443-a9b3-a1229b644972,2025-07-09,The Selective,Referral,0
76924d33-5a9b-4271-98b8-3be01cd5b39e,2025-06-24,The Selective,Referral,0
45eff685-c7f4-402e-b4e2-e9e2b36bb49f,2025-02-20,The Selective,Paid Social,1
ac2757db-b471-4612-9945-a44ff42942cc,2025-12-30,The Ghost,Paid Social,0
29820dfe-125c-4eec-ac8c-2aa484f5dcdd,2025-02-24,The Ghost,Organic,0
1730ce82-7a13-454a-bce5-417ba4cdd75b,2025-09-01,The Connector,Paid Social,1
5da7db81-30db-4b3e-82e5-605311553152,2025-11-16,The Newbie,Paid Social,0
b7a0496a-e2e1-4e05-acc3-c770a3211e57,2025-05-11,The Newbie,Organic,1
144df42e-3fbd-4fa1-8010-93c1c3e65000,2025-11-03,The Ghost,Organic,0
ad97769e-902e-4c79-a8ec-9730fde746a0,2025-05-15,The Connector,Paid Social,0
