transaction_id,member_id,product_type,amount_usd,transaction_date
0,37d55ac4-d14b-45a8-baa6-c72dc0b2b696,Spotlight,19.99,2025-09-02
1,ed879e03-5d26-42cc-8779-e1d229e936cf,Spotlight,9.99,2025-06-10
2,00831672-a496-4e2b-a01e-4716515f88d9,Spotlight,9.99,2025-08-24
3,80caee4a-68de-43b6-8334-c323ab2a1f46,Spotlight,19.99,2025-10-06
4,0ff5cddd-b507-4903-ada8-9771d0d11b86,SuperSwipe,39.99,2025-12-01
5,c7513f42-7d76-40c9-b22d-99b2ca7c378b,Spotlight,9.99,2025-08-31
6,a152dd73-2d17-49ed-84ba-aeba06f00e3a,SuperSwipe,19.99,2025-07-06
7,a0ae7a3f-cdde-42a0-849d-edc5c64dda9f,Subscription,9.99,2025-06-03
8,bfef89c5-46c7-4e48-9f5a-048bbae2c190,SuperSwipe,19.99,2025-11-22
9,617c5d21-f796-4a2e-a789-ffcd194111d5,SuperSwipe,39.99,2025-07-10
10,5fca37ff-df79-427a-9dab-d28bfa0e67ef,Spotlight,19.99,2025-09-02
11,ce1cb1b9-3d6c-47aa-829c-661f1ea68542,Spotlight,9.99,2025-10-27
12,99bdfa01-4f1e-45d7-a67c-0c113ff414a7,Subscription,19.99,2025-09-01
13,3c90d6b6-9a6e-4386-8efb-f16f73a46dbc,Spotlight,39.99,2025-07-26
14,4953fa89-db19-4bef-9a30-b51a533dc45b,SuperSwipe,39.99,2025-09-08
15,c2eba13e-3410-42ac-8b21-ea8b90cc420b,Spotlight,39.99,2025-09-06
16,196f8972-a5e8-4e97-a155-48f7324b9e86,SuperSwipe,19.99,2025-11-26
17,e1107146-147f-418a-8ad3-0b75538c6ccd,Spotlight,19.99,2025-06-21
18,eb793b86-653c-4773-9f25-762e054d5031,Spotlight,9.99,2025-12-19
19,e32d400a-e5f7-45d0-a377-e80dab63c71a,Spotlight,9.99,2025-10-29
20,9dfbcc0c-20b4-49ce-ac9f-23c5a404a810,SuperSwipe,39.99,2025-08-07
21,f2881165-f792-44b2-a126-a42ea205eb2e,SuperSwipe,9.99,2025-10-14
22,2fbecaf7-6c84-47a0-8a54-9c1eed945e07,SuperSwipe,39.99,2025-12-06
23,c4418cb9-e159-4235-89ef-622ba42db9c1,Subscription,39.99,2025-11-09
24,4c93088f-af94-4aa8-bc5f-0fc9266055e6,Spotlight,9.99,2025-11-10
25,c647c1d5-782e-45b1-9613-cea582f29cee,SuperSwipe,19.99,2025-08-17
26,8b0f5a59-36ce-4b28-9a40-68102f95d9b2,Subscription,9.99,2025-10-20
27,10ce0220-1324-458f-8ed5-81fad1977f80,Spotlight,19.99,2025-09-16
28,ef3d77ed-8abb-4119-985f-41208557b2b0,Subscription,9.99,2025-09-28
29,0209cf55-1f95-4d58-8302-ef7d70758049,Spotlight,9.99,2025-06-25
30,e3287fa8-89f3-476f-b1a8-c692c0673d5f,Spotlight,9.99,2025-07-02
31,bdfcf3dd-a0c0-4e87-8514-813e0e4bfb98,Subscription,39.99,2025-11-15
32,5f923be8-bc32-494c-ac9c-8e5fda2401e5,Subscription,9.99,2025-06-22
33,b89cacea-4634-4859-a5d6-8590a7a46274,Subscription,9.99,2025-10-20
34,8640ddd5-af0b-441e-9751-48f11e7370ef,Subscription,39.99,2025-07-09
35,5299c5ea-8867-4437-8ad2-3f1c131610d3,Spotlight,39.99,2025-06-25
36,317f9649-b51c-445a-b0ef-b2474ba4abff,Subscription,39.99,2025-10-07
37,1a5bd360-2ff1-4805-9ec3-753d8f909e27,Subscription,19.99,2025-08-12
38,78fb65c7-914c-4600-8082-ca9a9f1d4f7a,Subscription,9.99,2025-06-29
39,aa32214b-1fce-452c-a78e-f279a4cf39b1,Spotlight,9.99,2025-11-01
40,54693a3a-7df1-4d86-8b4d-2d301ac78c44,Spotlight,9.99,2025-11-13
41,fb151a46-3c7c-4587-b770-603f2d0f6c65,Spotlight,19.99,2025-07-26
42,6af465e6-d430-4918-8671-97b731d08ed8,Spotlight,39.99,2025-08-17
43,40ada012-a20a-4aaf-9d9c-d3697712424b,Subscription,9.99,2025-10-31
44,ae939e8a-9736-45d6-b1e6-6d40c42d4b6f,Spotlight,39.99,2025-06-22
45,fcf53035-4c2e-4b8f-9557-1e84b4d612ae,Spotlight,19.99,2025-12-15
46,34897d6f-14cf-4b6f-a31b-6c7560a1039f,Spotlight,19.99,2025-08-07
47,bfa607a5-dea9-4cf0-b2b4-3293707a4483,Subscription,39.99,2025-07-27
48,d7be3af3-1523-4bbc-9563-90d040a7dba6,Spotlight,19.99,2025-12-10
49,875f7e47-b87c-4610-b14d-0b1e641343ca,Spotlight,19.99,2025-11-17
50,96bcabdb-92c9-4ed5-a6ab-c43396d3ba63,Subscription,19.99,2025-11-22
51,47ad3afa-23ca-4be8-aafa-fe6da9758ce3,Subscription,9.99,2025-08-09
52,3e007856-ef00-4e87-b74a-3dd643eff149,Subscription,39.99,2025-09-17
53,47a815a1-c198-414d-81ae-eba5ec1f96f3,SuperSwipe,39.99,2025-06-22
54,6f82deba-98fc-4f8f-9777-af06638f5dfa,Subscription,39.99,2025-11-17
